timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741322838380,811,HTTP Request,200,OK,Thread Group 1-6,text,true,,111656,175,2,2,https://www.amazon.in/,352,0,0
1741322838894,806,HTTP Request,200,OK,Thread Group 1-5,text,true,,123608,175,2,2,https://www.amazon.in/,309,0,0
1741322839192,881,HTTP Request,200,OK,Thread Group 1-6,text,true,,121829,175,3,3,https://www.amazon.in/,360,0,0
1741322839701,923,HTTP Request,200,OK,Thread Group 1-5,text,true,,124970,175,3,3,https://www.amazon.in/,305,0,0
1741322839783,876,HTTP Request,200,OK,Thread Group 1-7,text,true,,115846,175,2,2,https://www.amazon.in/,351,0,30
1741322840074,865,HTTP Request,200,OK,Thread Group 1-6,text,true,,122702,175,2,2,https://www.amazon.in/,310,0,0
1741322840659,832,HTTP Request,200,OK,Thread Group 1-7,text,true,,116206,175,2,2,https://www.amazon.in/,322,0,0
1741322840940,816,HTTP Request,200,OK,Thread Group 1-6,text,true,,116214,175,2,2,https://www.amazon.in/,368,0,0
1741322841492,806,HTTP Request,200,OK,Thread Group 1-7,text,true,,120998,175,2,2,https://www.amazon.in/,334,0,0
1741322841757,848,HTTP Request,200,OK,Thread Group 1-6,text,true,,119257,175,2,2,https://www.amazon.in/,381,0,0
1741322842299,827,HTTP Request,200,OK,Thread Group 1-7,text,true,,118177,175,2,2,https://www.amazon.in/,315,0,0
1741322842606,932,HTTP Request,200,OK,Thread Group 1-6,text,true,,116803,175,2,2,https://www.amazon.in/,353,0,0
1741322843127,799,HTTP Request,200,OK,Thread Group 1-7,text,true,,120551,175,3,3,https://www.amazon.in/,385,0,0
1741322843538,892,HTTP Request,200,OK,Thread Group 1-6,text,true,,125116,175,3,3,https://www.amazon.in/,377,0,0
1741322843776,970,HTTP Request,200,OK,Thread Group 1-8,text,true,,118488,175,2,2,https://www.amazon.in/,359,0,35
1741322843926,867,HTTP Request,200,OK,Thread Group 1-7,text,true,,115118,175,2,2,https://www.amazon.in/,331,0,0
1741322844746,931,HTTP Request,200,OK,Thread Group 1-8,text,true,,119581,175,2,2,https://www.amazon.in/,377,0,0
1741322844793,960,HTTP Request,200,OK,Thread Group 1-7,text,true,,119200,175,2,2,https://www.amazon.in/,334,0,0
1741322845677,813,HTTP Request,200,OK,Thread Group 1-8,text,true,,119338,175,2,2,https://www.amazon.in/,370,0,0
1741322845753,869,HTTP Request,200,OK,Thread Group 1-7,text,true,,116645,175,2,2,https://www.amazon.in/,607,0,0
1741322846491,945,HTTP Request,200,OK,Thread Group 1-8,text,true,,116439,175,2,2,https://www.amazon.in/,346,0,0
1741322846622,856,HTTP Request,200,OK,Thread Group 1-7,text,true,,115080,175,2,2,https://www.amazon.in/,314,0,0
1741322847437,902,HTTP Request,200,OK,Thread Group 1-8,text,true,,118564,175,3,3,https://www.amazon.in/,415,0,0
1741322847479,915,HTTP Request,200,OK,Thread Group 1-7,text,true,,116785,175,3,3,https://www.amazon.in/,391,0,0
1741322847780,1018,HTTP Request,200,OK,Thread Group 1-9,text,true,,123077,175,2,2,https://www.amazon.in/,599,0,189
1741322848340,856,HTTP Request,200,OK,Thread Group 1-8,text,true,,118732,175,2,2,https://www.amazon.in/,385,0,0
1741322848798,1078,HTTP Request,200,OK,Thread Group 1-9,text,true,,118303,175,2,2,https://www.amazon.in/,341,0,0
1741322849197,872,HTTP Request,200,OK,Thread Group 1-8,text,true,,127355,175,2,2,https://www.amazon.in/,458,0,0
1741322849876,822,HTTP Request,200,OK,Thread Group 1-9,text,true,,119880,175,2,2,https://www.amazon.in/,399,0,0
1741322850069,864,HTTP Request,200,OK,Thread Group 1-8,text,true,,114513,175,2,2,https://www.amazon.in/,358,0,0
1741322850699,1024,HTTP Request,200,OK,Thread Group 1-9,text,true,,117316,175,2,2,https://www.amazon.in/,325,0,0
1741322850933,864,HTTP Request,200,OK,Thread Group 1-8,text,true,,117344,175,3,3,https://www.amazon.in/,310,0,0
1741322851723,879,HTTP Request,200,OK,Thread Group 1-9,text,true,,117168,175,3,3,https://www.amazon.in/,406,0,0
1741322851797,851,HTTP Request,200,OK,Thread Group 1-8,text,true,,120211,175,3,3,https://www.amazon.in/,370,0,0
1741322851775,905,HTTP Request,200,OK,Thread Group 1-10,text,true,,115433,175,2,2,https://www.amazon.in/,394,0,42
1741322852680,869,HTTP Request,200,OK,Thread Group 1-10,text,true,,125262,175,2,2,https://www.amazon.in/,340,0,0
1741322852603,986,HTTP Request,200,OK,Thread Group 1-9,text,true,,116116,175,2,2,https://www.amazon.in/,344,0,0
1741322853589,914,HTTP Request,200,OK,Thread Group 1-9,text,true,,122890,175,2,2,https://www.amazon.in/,312,0,0
1741322853550,987,HTTP Request,200,OK,Thread Group 1-10,text,true,,123376,175,2,2,https://www.amazon.in/,381,0,0
1741322854505,881,HTTP Request,200,OK,Thread Group 1-9,text,true,,110318,175,2,2,https://www.amazon.in/,367,0,0
1741322854537,1008,HTTP Request,200,OK,Thread Group 1-10,text,true,,123048,175,2,2,https://www.amazon.in/,320,0,0
1741322855388,776,HTTP Request,200,OK,Thread Group 1-9,text,true,,119748,175,2,2,https://www.amazon.in/,473,0,0
1741322855547,961,HTTP Request,200,OK,Thread Group 1-10,text,true,,120936,175,2,2,https://www.amazon.in/,357,0,0
1741322856165,976,HTTP Request,200,OK,Thread Group 1-9,text,true,,117856,175,2,2,https://www.amazon.in/,344,0,0
1741322856510,1006,HTTP Request,200,OK,Thread Group 1-10,text,true,,122377,175,1,1,https://www.amazon.in/,466,0,0
1741322857517,830,HTTP Request,200,OK,Thread Group 1-10,text,true,,118342,175,1,1,https://www.amazon.in/,384,0,0
1741322858348,789,HTTP Request,200,OK,Thread Group 1-10,text,true,,120161,175,1,1,https://www.amazon.in/,379,0,0
1741322859137,1288,HTTP Request,200,OK,Thread Group 1-10,text,true,,121013,175,1,1,https://www.amazon.in/,535,0,0
1741322860426,921,HTTP Request,200,OK,Thread Group 1-10,text,true,,123647,175,1,1,https://www.amazon.in/,304,0,0
