timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741192858925,1546,HTTP Request,200,OK,Thread Group 1-8,text,true,,119323,175,6,6,https://www.amazon.in/,412,0,0
1741192859158,1416,HTTP Request,200,OK,Thread Group 1-7,text,true,,115334,175,6,6,https://www.amazon.in/,596,0,0
1741192858813,2392,HTTP Request,200,OK,Thread Group 1-6,text,true,,116551,175,6,6,https://www.amazon.in/,346,0,0
1741192860460,1477,HTTP Request,200,OK,Thread Group 1-5,text,true,,122933,175,6,6,https://www.amazon.in/,541,0,0
1741192860472,1565,HTTP Request,200,OK,Thread Group 1-8,text,true,,114443,175,6,6,https://www.amazon.in/,528,0,0
1741192860221,2112,HTTP Request,200,OK,Thread Group 1-9,text,true,,114016,175,6,6,https://www.amazon.in/,1681,0,778
1741192860575,2565,HTTP Request,200,OK,Thread Group 1-7,text,true,,114330,175,6,6,https://www.amazon.in/,815,0,0
1741192862037,1332,HTTP Request,200,OK,Thread Group 1-8,text,true,,120797,175,6,6,https://www.amazon.in/,411,0,0
1741192861937,1528,HTTP Request,200,OK,Thread Group 1-5,text,true,,119588,175,6,6,https://www.amazon.in/,481,0,0
1741192861206,2267,HTTP Request,200,OK,Thread Group 1-6,text,true,,113598,175,6,6,https://www.amazon.in/,804,0,0
1741192862333,1224,HTTP Request,200,OK,Thread Group 1-9,text,true,,118046,175,6,6,https://www.amazon.in/,422,0,0
1741192863140,2501,HTTP Request,200,OK,Thread Group 1-7,text,true,,114794,175,7,7,https://www.amazon.in/,417,0,0
1741192863558,2197,HTTP Request,200,OK,Thread Group 1-9,text,true,,113843,175,7,7,https://www.amazon.in/,944,0,0
1741192863466,2369,HTTP Request,200,OK,Thread Group 1-5,text,true,,118088,175,7,7,https://www.amazon.in/,415,0,0
1741192863369,2575,HTTP Request,200,OK,Thread Group 1-8,text,true,,112611,175,6,6,https://www.amazon.in/,410,0,0
